net,length_um
_02813_,141.14µm
net591,140.975µm
net79,140.97µm
comm_mem_u0.o_img_row07\[12\],140.74µm
_01991_,140.7µm
_05994_,140.7µm
comm_mem_u0.o_img_row09\[22\],140.58µm
_01818_,140.425µm
comm_mem_u0.o_img_row02\[17\],140.395µm
_02495_,140.37µm
comm_mem_u0.o_img_row05\[25\],140.33µm
net258,140.175µm
net211,140.07µm
net266,139.89µm
net312,139.86µm
net594,139.795µm
net814,139.52µm
_01906_,139.28µm
_03026_,138.985µm
_04511_,138.98µm
net920,138.91µm
net50,138.825µm
_03542_,138.7µm
net383,138.58µm
net1058,138.525µm
comm_mem_u0.o_img_row06\[10\],137.955µm
_01637_,137.79µm
_05993_,137.77µm
net917,137.525µm
comm_mem_u0.o_img_row07\[5\],137.315µm
_02560_,137.27µm
_04292_,137.26µm
net732,137.2µm
net113,137.135µm
net859,137.045µm
net944,136.955µm
net1086,136.955µm
_01854_,136.88µm
net1080,136.86µm
_04824_,136.85µm
net911,136.82µm
net372,136.39µm
_06008_,136.3µm
net298,136.255µm
comm_mem_u0.o_img_row03\[17\],136.135µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[60\],135.995µm
net75,135.89µm
comm_mem_u0.o_img_row09\[21\],135.85µm
net921,135.68µm
net283,135.655µm
comm_mem_u0.o_img_row02\[29\],135.605µm
net152,135.495µm
net856,135.31µm
comm_mem_u0.o_img_row00\[22\],135.115µm
_02467_,135.02µm
comm_mem_u0.o_img_row02\[13\],134.895µm
net321,134.7µm
_04673_,134.26µm
net853,134.04µm
net714,133.895µm
_05020_,133.81µm
_03074_,133.73µm
net347,133.59µm
comm_mem_u0.o_img_row00\[21\],133.15µm
_06017_,132.61µm
_02097_,132.59µm
net835,132.575µm
comm_mem_u0.o_img_row01\[14\],132.19µm
_06649_,132.18µm
comm_mem_u0.o_wgt_row01\[12\],131.96µm
net355,131.83µm
_06640_,131.81µm
net711,131.745µm
net1110,131.705µm
_05662_,131.7µm
_02225_,131.645µm
_03548_,131.45µm
comm_mem_u0.o_img_row01\[4\],131.315µm
comm_mem_u0.spi_u0.loader_image_sm.row_latch\[0\],131.3µm
comm_mem_u0.spi_u0.loader_image_sm.row_latch\[1\],131.295µm
net418,131.255µm
net807,131.25µm
net855,131.175µm
net147,131.14µm
comm_mem_u0.o_img_row00\[18\],131.105µm
net203,130.87µm
net466,130.845µm
comm_mem_u0.o_img_row01\[26\],130.84µm
_05995_,130.765µm
_05754_,130.75µm
net136,130.61µm
net223,130.48µm
net233,130.43µm
net61,130.38µm
comm_mem_u0.o_img_row00\[28\],130.21µm
net838,130.16µm
_03908_,129.94µm
net1031,129.73µm
_00039_,129.605µm
_01872_,129.455µm
net501,129.32µm
net1069,128.71µm
comm_mem_u0.o_img_row02\[9\],128.49µm
net243,128.43µm
net38,128.395µm
_06724_,128.36µm
net109,128.18µm
net1082,128.1µm
net133,127.895µm
net268,127.81µm
net735,127.665µm
net72,127.65µm
net1039,127.55µm
comm_mem_u0.o_img_row02\[16\],127.51µm
_02551_,127.44µm
comm_mem_u0.o_img_row02\[26\],127.345µm
net465,127.23µm
net82,127.055µm
comm_mem_u0.o_img_row01\[19\],127.04µm
net811,127.02µm
_04879_,126.87µm
_01821_,126.695µm
net385,126.605µm
_02866_,126.53µm
_02041_,126.435µm
net824,126.4µm
net264,126.395µm
net421,126.385µm
_03151_,126.3µm
net889,126.19µm
net573,126.05µm
net555,125.975µm
net505,125.96µm
net157,125.91µm
net817,125.9µm
_03503_,125.84µm
net121,125.765µm
net137,125.675µm
_05724_,125.65µm
_05032_,125.615µm
net9,125.53µm
net577,125.31µm
comm_mem_u0.o_img_row09\[0\],125.29µm
net367,125.285µm
net69,125.21µm
net251,125.14µm
_01542_,125µm
net935,124.985µm
comm_mem_u0.o_img_row06\[26\],124.8µm
net225,124.765µm
net476,124.765µm
net919,124.575µm
net861,124.45µm
net86,124.405µm
comm_mem_u0.o_img_row03\[16\],124.35µm
comm_mem_u0.o_img_row07\[9\],124.275µm
net228,124.05µm
net1012,124.035µm
_01593_,123.74µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[7\],123.73µm
net419,123.72µm
net344,123.675µm
net936,123.655µm
net397,123.55µm
net1017,123.5µm
_04970_,123.48µm
