net,length_um
net50,196.93µm
net431,196.715µm
net37,196.57µm
net636,196.45µm
net345,196.01µm
net145,195.98µm
cnn_inst.comm_mem_u0.o_img_row06\[11\],195.43µm
cnn_inst.comm_mem_u0.o_wgt_row00\[12\],195.3µm
net337,194.78µm
_03000_,194.45µm
net895,194.36µm
net291,194.2µm
_02878_,194.16µm
net131,193.845µm
net118,193.7µm
net84,193.545µm
cnn_inst.comm_mem_u0.o_img_row08\[14\],193.485µm
net122,193.165µm
_06116_,193.09µm
net740,192.99µm
cnn_inst.comm_mem_u0.spi_u0.weight_shift\[6\],192.66µm
cnn_inst.comm_mem_u0.o_img_row08\[20\],192.545µm
_03425_,192.105µm
_03743_,191.71µm
_03727_,191.665µm
_03224_,191.65µm
net892,191.31µm
cnn_inst.comm_mem_u0.o_img_row03\[21\],191.015µm
_02984_,190.98µm
_05152_,190.69µm
net599,190.635µm
net89,190.435µm
net294,190.375µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[63\],189.925µm
cnn_inst.comm_mem_u0.o_img_row03\[17\],189.9µm
net399,189.665µm
net221,189.63µm
net4,189.285µm
_01930_,189.2µm
_01644_,188.975µm
net754,188.855µm
net440,188.675µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[22\],188.625µm
_04102_,188.475µm
_03203_,188.425µm
net871,188.315µm
cnn_inst.comm_mem_u0.o_img_row03\[7\],188.06µm
net486,187.83µm
net799,187.63µm
net709,187.565µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.window_sel\[2\],187.415µm
net159,187.1µm
_03683_,187µm
cnn_inst.comm_mem_u0.spi_u0.weight_shift\[4\],186.775µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[37\],186.545µm
cnn_inst.comm_mem_u0.o_img_row07\[19\],186.5µm
cnn_inst.comm_mem_u0.spi_u0.weight_shift\[0\],186.47µm
net987,186.45µm
net218,186.41µm
net500,186.36µm
net214,186.21µm
net127,186.095µm
net404,186.015µm
net264,185.895µm
_06675_,185.68µm
cnn_inst.comm_mem_u0.o_img_row07\[3\],185.62µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[1\],185.365µm
cnn_inst.comm_mem_u0.o_img_row03\[20\],185.28µm
_02384_,185.1µm
