2026-03-06 05:32:02 +0000: Memory Usage (462312K) : devbondvia_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : devbondmet_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : devtrench_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : redist_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphbot_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphtop_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : antvia1_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : antmetal2_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphcont_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : siwg_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : siwg_filler has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : siwg_nofill has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : sigrating_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : singrating_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphpas_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : emwind3_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : emwihv3_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : redbulay_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : smos_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : graphpad_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : polimide_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : polimide_pin has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : recog_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : recog_pin has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : recog_esd has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : recog_diode has 10 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : recog_tsv has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : recog_iprobe has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : recog_diffprb has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : recog_pillar has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : recog_sbump has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : recog_otp has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : recog_pdiode has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : recog_mom has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : recog_pcm has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : colopen_drw has 0 polygons
